domain,has_gmb,confidence,business_name,gmb_url,address,phone,detection_method,error
acemotors.net,No,none,Acemotors,,,,,
albuferadevalencia.com,No,none,Albuferadevalencia,,,,,
aldine.us,No,none,Aldine,,,,,
astro-ai.xyz,No,none,Astro Ai,,,,,
balneariosgalicia.net,No,none,Balneariosgalicia,,,,,
benidormweedclub.com,No,none,Benidormweedclub,,,,,
biozen.info,No,none,Biozen,,,,,
booti.website,No,none,Booti,,,,,
clubclass.site,No,none,Clubclass,,,,,
dracma.co,No,none,Dracma,,,,,
ecoresin.co,No,none,Ecoresin,,,,,
fitquest.info,No,none,Fitquest,,,,,
fun2play.info,No,none,Fun2Play,,,,,
globalstar.io,No,none,Globalstar,,,,,
hospitalsanjose.org,No,none,Hospitalsanjose,,,,,
iconos8.com,No,none,Iconos8,,,,,
ingarden.co,No,none,Ingarden,,,,,
jfernandez.online,No,none,Jfernandez,,,,,
lookfor.shop,No,none,Lookfor,,,,,
maniacflyfishing.com,No,none,Maniacflyfishing,,,,,
maratones.fun,No,none,Maratones,,,,,
onlinepro.io,No,none,Onlinepro,,,,,
outletreforged.com,No,none,Outletreforged,,,,,
phonehouse.site,No,none,Phonehouse,,,,,
smarticket.info,No,none,Smarticket,,,,,
thebestgift.org,No,none,Thebestgift,,,,,
thehostclub.xyz,No,none,Thehostclub,,,,,
thehotspotyoga.com,No,none,Thehotspotyoga,,,,,
yogui.io,No,none,Yogui,,,,,
